## RECSRecommendations Upload File,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,
## RECS,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.custom,entity.new,entity.scope,entity.duration
H702E,South America Discovery,H702E_H702E,Experience the Panama Canal during a circumnavigation of South America on this 90-night voyage. An overnight in Rio de Janeiro means you can be part of something special - the world-famous Carnival.,/content/cunard/master_website/en_GB/find-a-cruise/H702E/H702E.html,11999,/content/cunard/master_website/en_GB/find-a-cruise/H702E/H702E.html,test,World cruise test data,World cruise test data,90
V703C,Full World Voyage,V703C_V703C,Dakar in Senegal. Acajutla in El Salvador. Manila in the Philippines. A rich variety of ports awaits your discovery on this 109-night World Voyage on Queen Victoria. Which will be your favourite?,/content/cunard/master_website/en_GB/find-a-cruise/V703C/V703C.html,13049,/content/cunard/master_website/en_GB/find-a-cruise/V703C/V703C.html,test,World cruise test data,World cruise test data,109
V703D,"Full World Voyage, 111 Nights",V703D_V703D,"Experience an adventure of a lifetime in 2027, sailing on this 111-night World Voyage. Discover ports in Central America, Australia, Europe, and Asia, with overnight calls and late evening departures.",/content/cunard/master_website/en_GB/find-a-cruise/V703D/V703D.html,13499,/content/cunard/master_website/en_GB/find-a-cruise/V703D/V703D.html,test,World cruise test data,World cruise test data,111
V704B,New York To Southampton,V704B_V704B,"An extraordinary 100 nights on Queen Victoria promises to bring some unforgettable joys. See the bright lights of LA during an overnight, and explore incredible cuisine in Southeast Asia and Africa.",/content/cunard/master_website/en_GB/find-a-cruise/V704B/V704B.html,11499,/content/cunard/master_website/en_GB/find-a-cruise/V704B/V704B.html,test,World cruise test data,World cruise test data,100